PLU ID,PLU Code,Food ID
1140,4701,139
1141,4702,139
1142,4703,139
1143,4704,139
1144,4705,139
1145,4706,139
1146,4707,139
1147,4708,139
1148,4709,139
1149,4710,139
1150,4711,139
1151,4712,139
1152,4713,139
1153,4714,139
1154,4715,139
1155,4716,139
1156,4717,139
1157,4718,139
1158,4719,139
1159,4720,139
1160,4721,139
1161,4722,139
1162,4772,139
1163,3459,140
1164,4427,140
1165,4428,140
1166,4429,140
1167,3039,141
1168,4938,142
1169,3037,143
1170,3379,143
1171,3380,143
1172,4029,143
1173,4430,143
1174,4431,143
1175,4432,143
1176,4433,143
1177,4864,143
1178,4939,144
1179,4940,144
1180,4941,144
1181,3040,145
1182,3319,145
1183,3126,146
1184,3278,146
1185,3609,146
1186,3610,146
1187,3611,146
1188,3457,147
1189,3536,147
1190,4039,147
1191,4040,147
1192,4041,147
1193,4042,147
1194,4434,147
1195,4435,147
1196,4436,147
1197,4437,147
1198,4438,147
1199,4439,147
1200,4440,147
1201,4441,147
1202,4442,147
1203,4443,147
1204,4444,147
1205,3127,148
1206,3440,148
1207,4445,148
1208,4446,148
1209,3128,149
1210,3414,149
1211,3415,149
1212,4072,149
1213,4073,149
1214,4083,149
1215,4723,149
1216,4724,149
1217,4725,149
1218,4726,149
1219,4727,149
1220,4728,149
1221,4729,149
1222,4730,149
1223,4731,149
1224,4732,149
1225,4733,149
1226,3274,150
1227,4865,150
1228,4866,150
1229,4867,150
1230,3130,151
1231,3131,151
1232,3132,151
1233,3133,151
1234,3134,151
1235,3631,151
1236,4734,151
1237,4735,151
1238,4736,151
1239,4737,151
1240,3480,152
1241,3483,153
1242,3478,154
1243,4447,155
1244,3482,156
1245,3165,157
1246,3168,157
1247,4738,157
1248,4089,158
1249,4739,158
1250,4740,158
1251,4741,158
1252,4742,158
1253,4743,158
1254,4744,158
1255,4868,159
1256,4869,159
1257,3041,160
1258,3416,161
1259,4745,161
1260,4746,161
1261,4903,162
1262,4747,163
1263,4748,163
1264,3472,164
1265,4904,165
1266,4470,166
1267,3136,167
1268,3137,168
1269,3138,168
1270,3139,169
1271,4905,170
1272,3381,171
1273,3332,172
1274,3417,172
1275,4090,172
1276,4749,172
1277,3059,173
1278,3060,173
1279,3140,173
1280,3141,173
1281,3142,173
1282,3143,173
1283,3418,173
1284,3441,173
1285,4067,173
1286,4086,173
1287,4750,173
1288,4751,173
1289,4752,173
1290,4753,173
1291,4754,173
1292,4755,173
1293,4756,173
1294,4757,173
1295,4758,173
1296,4759,173
1297,4760,173
1298,4761,173
1299,4763,173
1300,4764,173
1301,4765,173
1302,4766,173
1303,4767,173
1304,4768,173
1305,4769,173
1306,4773,173
1307,4774,173
1308,4775,173
1309,4776,173
1310,4777,173
1311,4779,173
1312,4780,173
1313,4781,173
1314,4782,173
1315,4784,173
1316,4785,173
1317,4786,173
1318,4787,173
1319,4788,173
1320,4789,173
1321,3382,174
1322,4790,175
1323,4791,176
1324,4942,177
1325,3288,178
1326,3333,178
1327,3334,178
1328,3474,178
1329,4074,178
1330,4091,178
1331,4816,178
1332,4817,178
1333,4792,179
1334,4793,179
1335,4448,180
1336,4383,181
1337,4456,181
1338,4459,181
1339,3029,182
1340,3030,182
1341,3031,182
1342,3032,182
1343,3144,182
1344,3383,182
1345,3384,182
1346,3385,182
1347,3386,182
1348,3387,182
1349,3388,182
1350,3389,182
1351,3425,182
1352,3426,182
1353,3427,182
1354,3428,182
1355,3429,182
1356,3430,182
1357,3431,182
1358,3432,182
1359,3433,182
1360,3524,182
1361,3632,182
1362,4055,182
1363,4449,182
1364,4450,182
1365,4451,182
1366,4452,182
1367,4453,182
1368,4454,182
1369,4455,182
1370,4457,182
1371,4458,182
1372,4794,183
1373,4795,183
1374,4906,184
1375,4907,185
1376,3061,186
1377,3145,186
1378,3146,186
1379,3147,186
1380,3148,186
1381,3149,186
1382,3150,186
1383,3151,186
1384,3282,186
1385,3335,186
1386,3336,186
1387,3423,186
1388,3458,186
1389,3512,186
1390,4063,186
1391,4064,186
1392,4087,186
1393,4664,186
1394,4778,186
1395,4796,186
1396,4797,186
1397,4798,186
1398,4799,186
1399,4800,186
1400,4801,186
1401,4802,186
1402,4803,186
1403,4804,186
1404,4805,186
1405,4806,186
1406,4807,186
1407,4808,186
1408,4095,187
1409,4809,187
1410,4810,187
1411,4811,187
1412,4812,187
1413,4813,187
1414,4908,188
1415,4943,189
1416,4944,189
1417,4945,189
1418,4946,189
1419,4814,190
1420,4815,191
1421,3481,192
1422,3164,193
1423,4819,194
