Label,Link,Fridge,Freezer,Pantry
"GRAPEFRUIT - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/17302,3-4 days,10-12 months,
"GRAPEFRUIT - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17303,3-4 weeks,10-12 months,1 week
GRAPEFRUIT JUICE - COMMERCIALLY FROZEN CONCENTRATE,https://www.stilltasty.com/Fooditems/index/17306,5-7 days after prepared for drinking,1 year (best quality),
GRAPEFRUIT JUICE — FRESHLY SQUEEZED,https://www.stilltasty.com/Fooditems/index/17307,2-3 days,3-4 months,
"GRAPEFRUIT JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/17308,5-7 days,8-12 months,
"GRAPEFRUIT JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17309,,8-12 months,12-18 months
"GRAPEFRUIT JUICE, SOLD IN REFRIGERATED CARTON OR BOTTLE - UNOPENED",https://www.stilltasty.com/Fooditems/index/17311,1 week after date on package,8-12 months,
"GRAPEFRUIT JUICE, SOLD IN REFRIGERATED CARTON OR BOTTLE — OPENED",https://www.stilltasty.com/Fooditems/index/17310,7-10 days,8-12 months,
"GRAPES - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17312,7-14 days,10-12 months,
"GUANABANA NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/17353,5-7 days,8-12 months,
"GUANABANA NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17354,,8-12 months,12-18 months
"GUAVA — FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/17355,3-4 days,10-12 months,
"GUAVA - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17356,3-4 days once ripe,10-12 months,2-5 days or until ripe
"GUAVA NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/17359,5-7 days,8-12 months,
"GUAVA NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17360,,8-12 months,12-18 months
"HONEYDEW MELONS - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/17414,3-5 days,10-12 months,
"HONEYDEW MELONS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17415,5-7 days,10-12 months,2-4 days
"HUCKLEBERRIES — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17427,7-14 days,10-12 months,
"JUICE BOXES, DRINK BOXES, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/17463,5-7 days,8-12 months,
"JUICE BOXES, DRINK BOXES, SOLD UNREFRIGERATED —UNOPENED",https://www.stilltasty.com/Fooditems/index/17464,,8-12 months,12-18 months (best quality)
"JUICE SMOOTHIES, SOLD IN REFRIGERATED PACKAGE - UNOPENED",https://www.stilltasty.com/Fooditems/index/17232,1 week after date on package,8-12 months,
"JUICE SMOOTHIES, SOLD IN REFRIGERATED PACKAGE — OPENED",https://www.stilltasty.com/Fooditems/index/17231,7-10 days,8-12 months,
"JUJUBES, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18830,6-12 months,12-18 months,6-12 months
"KIWI FRUIT - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/17481,3-4 days,10-12 months,
"KIWI FRUIT - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17482,1-4 weeks once ripe,10-12 months,2-5 days or until ripe
"KIWI, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18831,6-12 months,12-18 months,6-12 months
"KUMQUATS - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17489,2-3 weeks,10-12 months,3-5 days
