Label,Link,Fridge,Freezer,Pantry
LEMON JUICE — FRESHLY SQUEEZED,https://www.stilltasty.com/Fooditems/index/17533,2,90,
"LEMON JUICE, SOLD UNREFRIGERATED  IN PLASTIC BOTTLE OR LEMON-SHAPED CONTAINER, CONTAINING PRESERVATIVES - OPENED",https://www.stilltasty.com/Fooditems/index/17535,450,,
"LEMON JUICE, SOLD UNREFRIGERATED  IN PLASTIC BOTTLE OR LEMON-SHAPED CONTAINER, CONTAINING PRESERVATIVES - UNOPENED",https://www.stilltasty.com/Fooditems/index/17536,,,450
"LEMON PEEL, CANDIED — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/17538,,,540
LEMONADE - COMMERCIALLY FROZEN CONCENTRATE,https://www.stilltasty.com/Fooditems/index/17532,6,365,
"LEMONADE, SOLD IN REFRIGERATED CARTON - UNOPENED",https://www.stilltasty.com/Fooditems/index/17543,7,300,
"LEMONADE, SOLD IN REFRIGERATED CARTON — OPENED",https://www.stilltasty.com/Fooditems/index/17542,8,300,
"LEMONS - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/17544,3,90,
"LEMONS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17545,21,90,7
LIME JUICE — FRESHLY SQUEEZED,https://www.stilltasty.com/Fooditems/index/17571,2,90,
"LIME JUICE, SOLD UNREFRIGERATED  IN PLASTIC BOTTLE OR LIME-SHAPED CONTAINER, CONTAINING PRESERVATIVES - UNOPENED",https://www.stilltasty.com/Fooditems/index/18911,,,450
"LIME JUICE, SOLD UNREFRIGERATED IN PLASTIC BOTTLE OR LIME-SHAPED CONTAINER, CONTAINING PRESERVATIVES - OPENED",https://www.stilltasty.com/Fooditems/index/17572,450,,
"LIMES - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/17577,3,90,
"LIMES - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17578,21,90,7
"LITCHIS (LYCHEES) — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17585,6,330,
"LITCHIS (LYCHEES), DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18832,270,450,270
LOGANBERRIES — COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/17599,,365,
"MANGO NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/17630,6,300,
APPLE JUICE - COMMERCIALLY FROZEN CONCENTRATE,https://www.stilltasty.com/Fooditems/index/16371,6,365,
"APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - OPENED ",https://www.stilltasty.com/Fooditems/index/16372,8,300,
"APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16373,,300,630
"APPLE JUICE, SOLD IN REFRIGERATED CONTAINER - OPENED",https://www.stilltasty.com/Fooditems/index/16374,8,300,
"APPLE JUICE, SOLD IN REFRIGERATED CONTAINER - UNOPENED",https://www.stilltasty.com/Fooditems/index/16375,7,300,
APPLES -  COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16381,,365,
"APPLES - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16382,3,330,
"APPLES - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16383,30,330,6
"APPLES, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18822,270,450,270
"APPLESAUCE, COMMERCIALLY BOTTLED OR PACKAGED, SOLD UNREFRIGERATED - OPENED ",https://www.stilltasty.com/Fooditems/index/16388,7,30,
"APPLESAUCE, COMMERCIALLY BOTTLED OR PACKAGED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16389,,30,450
"APRICOT NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/16392,6,300,
"APRICOT NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16393,,300,450
"APRICOTS — FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16401,3,330,
